name,country,state,latitude,longitude,population
Cuímba,Angola,Zaire,-6.12085,14.62086,41878
Cuíto,Angola,Bíe,-12.38333,16.93333,355423
Dombe Grande,Angola,Benguela,-12.95167,13.1025,25000
Dondo,Angola,Cuanza Norte,-9.68456,14.42788,64643
Dondo,Angola,Cuanza Norte,-9.05,15.31667,64643
Dundo,Angola,Luanda Norte,-7.36643,20.81557,177604
Ecunna,Angola,Huambo,-12.67889,15.50556,82541
Gabela,Angola,Kwanza Sul,-10.85147,14.37993,116903
Gama,Angola,Bengo,-8.5675,13.47639,66202
Ganda,Angola,Benguela,-13.01592,14.63502,65000
Golfe,Angola,Luanda,-8.86639,13.26173,655796
Golungo Alto,Angola,Cuanza Norte,-9.13333,14.76667,19992
Gombe,Angola,Bengo,-8.12439,14.29081,19209
